ch26,2810_A2_SCSI1,2810_A2_SCSI1,2810_A2_SCSI1,2810_A2_SCSI1,[ab0->card1r0->c25],[ab1->card1r1->c26],[ab2->card1r2->c23],[ab3->card1r3->c24]
ch27,2810_A2_SCSI1,2810_A2_SCSI1,2810_A2_SCSI1,2810_A2_SCSI1,[ab0->card1r0->c29],[ab1->card1r1->c30],[ab2->card1r2->c27],[ab3->card1r3->c28]
ch28,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c6],[ab1->card1r1->c7],[ab2->card1r2->c4],[ab3->card1r3->c5]
ch29,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c10],[ab1->card1r1->c11],[ab2->card1r2->c8],[ab3->card1r3->c9]
ch30,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c14],[ab1->card1r1->c15],[ab2->card1r2->c12],[ab3->card1r3->c13]
ch31,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c18],[ab1->card1r1->c19],[ab2->card1r2->c16],[ab3->card1r3->c17]
ch32,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c22],[ab1->card1r1->c23],[ab2->card1r2->c20],[ab3->card1r3->c21]
ch33,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c26],[ab1->card1r1->c27],[ab2->card1r2->c24],[ab3->card1r3->c25]
ch34,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c30],[ab1->card1r1->c31],[ab2->card1r2->c28],[ab3->card1r3->c29]
ch35,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c34],[ab1->card1r1->c35],[ab2->card1r2->c32],[ab3->card1r3->c33]
ch36,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c38],[ab1->card1r1->c39],[ab2->card1r2->c36],[ab3->card1r3->c37]
ch37,2810_A2_SCSI2,2810_A2_SCSI3,2810_A2_SCSI2,2810_A2_SCSI2,[ab0->card1r0->c42],[ab1->card1r1->c0],[ab2->card1r2->c40],[ab3->card1r3->c41]
ch38,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c3],[ab1->card1r1->c4],[ab2->card1r2->c1],[ab3->card1r3->c2]
ch39,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c7],[ab1->card1r1->c8],[ab2->card1r2->c5],[ab3->card1r3->c6]
ch40,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c11],[ab1->card1r1->c12],[ab2->card1r2->c9],[ab3->card1r3->c10]
ch41,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c15],[ab1->card1r1->c16],[ab2->card1r2->c13],[ab3->card1r3->c14]
ch42,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c19],[ab1->card1r1->c20],[ab2->card1r2->c17],[ab3->card1r3->c18]
ch43,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c23],[ab1->card1r1->c24],[ab2->card1r2->c21],[ab3->card1r3->c22]
ch44,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c27],[ab1->card1r1->c28],[ab2->card1r2->c25],[ab3->card1r3->c26]
ch45,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c31],[ab1->card1r1->c32],[ab2->card1r2->c29],[ab3->card1r3->c30]
ch46,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c35],[ab1->card1r1->c36],[ab2->card1r2->c33],[ab3->card1r3->c34]
ch47,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c39],[ab1->card1r1->c40],[ab2->card1r2->c37],[ab3->card1r3->c38]
ch48,2810_B1_SCSI1,2810_B1_SCSI1,2810_A2_SCSI3,2810_A2_SCSI3,[ab0->card1r0->c0],[ab1->card1r1->c1],[ab2->card1r2->c41],[ab3->card1r3->c42]
ch49,2810_B1_SCSI1,2810_B1_SCSI1,2810_B1_SCSI1,2810_B1_SCSI1,[ab0->card1r0->c4],[ab1->card1r1->c5],[ab2->card1r2->c2],[ab3->card1r3->c3]
